Sample	Cluster
CGGA_1001	Cluster1
CGGA_1011	Cluster1
CGGA_1015	Cluster1
CGGA_1035	Cluster1
CGGA_1045	Cluster1
CGGA_1073	Cluster1
CGGA_1074	Cluster1
CGGA_1114	Cluster1
CGGA_1124	Cluster1
CGGA_1171	Cluster1
CGGA_1224	Cluster1
CGGA_1240	Cluster1
CGGA_1270	Cluster1
CGGA_1313	Cluster1
CGGA_1338	Cluster1
CGGA_1342	Cluster1
CGGA_483	Cluster1
CGGA_525	Cluster1
CGGA_604	Cluster1
CGGA_679	Cluster1
CGGA_731	Cluster1
CGGA_789	Cluster1
CGGA_802	Cluster1
CGGA_842	Cluster1
CGGA_859	Cluster1
CGGA_876	Cluster1
CGGA_D35	Cluster1
CGGA_D37	Cluster1
CGGA_1007	Cluster2_3
CGGA_1023	Cluster2_3
CGGA_1024	Cluster2_3
CGGA_1026	Cluster2_3
CGGA_1039	Cluster2_3
CGGA_1109	Cluster2_3
CGGA_1139	Cluster2_3
CGGA_1214	Cluster2_3
CGGA_1216	Cluster2_3
CGGA_1251	Cluster2_3
CGGA_1275	Cluster2_3
CGGA_1320	Cluster2_3
CGGA_1332	Cluster2_3
CGGA_342	Cluster2_3
CGGA_494	Cluster2_3
CGGA_499	Cluster2_3
CGGA_658	Cluster2_3
CGGA_680	Cluster2_3
CGGA_808	Cluster2_3
CGGA_902	Cluster2_3
CGGA_D09	Cluster2_3
CGGA_1008	Cluster2_3
CGGA_1049	Cluster2_3
CGGA_1053	Cluster2_3
CGGA_1070	Cluster2_3
CGGA_1072	Cluster2_3
CGGA_1077	Cluster2_3
CGGA_1083	Cluster2_3
CGGA_1091	Cluster2_3
CGGA_1180	Cluster2_3
CGGA_1234	Cluster2_3
CGGA_1237	Cluster2_3
CGGA_1258	Cluster2_3
CGGA_1299	Cluster2_3
CGGA_274	Cluster2_3
CGGA_413	Cluster2_3
CGGA_676	Cluster2_3
CGGA_782	Cluster2_3
CGGA_804	Cluster2_3
CGGA_837	Cluster2_3
CGGA_848	Cluster2_3
CGGA_850	Cluster2_3
CGGA_878	Cluster2_3
CGGA_D03	Cluster2_3
CGGA_D30	Cluster2_3
CGGA_D57	Cluster2_3
