Sample	Cluster
TCGA.02.0055.01	Cluster1
TCGA.02.2486.01	Cluster1
TCGA.06.0130.01	Cluster1
TCGA.06.0132.01	Cluster1
TCGA.06.0141.01	Cluster1
TCGA.06.0168.01	Cluster1
TCGA.06.0187.01	Cluster1
TCGA.06.0190.01	Cluster1
TCGA.06.0210.01	Cluster1
TCGA.06.0219.01	Cluster1
TCGA.06.0644.01	Cluster1
TCGA.06.0645.01	Cluster1
TCGA.06.0646.01	Cluster1
TCGA.06.0750.01	Cluster1
TCGA.06.0878.01	Cluster1
TCGA.06.0882.01	Cluster1
TCGA.06.2557.01	Cluster1
TCGA.06.2562.01	Cluster1
TCGA.06.2563.01	Cluster1
TCGA.06.2567.01	Cluster1
TCGA.06.5408.01	Cluster1
TCGA.06.5410.01	Cluster1
TCGA.06.5412.01	Cluster1
TCGA.06.5414.01	Cluster1
TCGA.06.5418.01	Cluster1
TCGA.12.3653.01	Cluster1
TCGA.12.5295.01	Cluster1
TCGA.12.5299.01	Cluster1
TCGA.14.0781.01	Cluster1
TCGA.14.0787.01	Cluster1
TCGA.14.0789.01	Cluster1
TCGA.14.0817.01	Cluster1
TCGA.14.1034.01	Cluster1
TCGA.14.1823.01	Cluster1
TCGA.16.0846.01	Cluster1
TCGA.19.4065.01	Cluster1
TCGA.26.5136.01	Cluster1
TCGA.26.5139.01	Cluster1
TCGA.27.1830.01	Cluster1
TCGA.27.1831.01	Cluster1
TCGA.27.1832.01	Cluster1
TCGA.27.1834.01	Cluster1
TCGA.27.1837.01	Cluster1
TCGA.27.2519.01	Cluster1
TCGA.27.2524.01	Cluster1
TCGA.27.2526.01	Cluster1
TCGA.28.1747.01	Cluster1
TCGA.28.1753.01	Cluster1
TCGA.28.2513.01	Cluster1
TCGA.28.5204.01	Cluster1
TCGA.28.5213.01	Cluster1
TCGA.28.5218.01	Cluster1
TCGA.32.1982.01	Cluster1
TCGA.32.2615.01	Cluster1
TCGA.32.2632.01	Cluster1
TCGA.32.2638.01	Cluster1
TCGA.32.4213.01	Cluster1
TCGA.32.5222.01	Cluster1
TCGA.41.2572.01	Cluster1
TCGA.76.4928.01	Cluster1
TCGA.CS.4941.01	Cluster1
TCGA.DU.6402.01	Cluster1
TCGA.DU.6406.01	Cluster1
TCGA.DU.7012.01	Cluster1
TCGA.DU.8161.01	Cluster1
TCGA.DU.A7TD.01	Cluster1
TCGA.FG.A87Q.01	Cluster1
TCGA.HT.7860.01	Cluster1
TCGA.HT.7882.01	Cluster1
TCGA.HT.A5RA.01	Cluster1
TCGA.KT.A7W1.01	Cluster1
TCGA.06.0174.01	Cluster2_3
TCGA.06.2569.01	Cluster2_3
TCGA.08.0386.01	Cluster2_3
TCGA.12.0618.01	Cluster2_3
TCGA.12.1597.01	Cluster2_3
TCGA.14.0871.01	Cluster2_3
TCGA.14.1825.01	Cluster2_3
TCGA.19.2624.01	Cluster2_3
TCGA.19.5960.01	Cluster2_3
TCGA.32.2634.01	Cluster2_3
TCGA.41.2571.01	Cluster2_3
TCGA.41.5651.01	Cluster2_3
TCGA.CS.5395.01	Cluster2_3
TCGA.CS.5397.01	Cluster2_3
TCGA.DB.A64O.01	Cluster2_3
TCGA.DU.7292.01	Cluster2_3
TCGA.DU.8162.01	Cluster2_3
TCGA.DU.A76K.01	Cluster2_3
TCGA.FG.7643.01	Cluster2_3
TCGA.HT.A74H.01	Cluster2_3
TCGA.QH.A6CS.01	Cluster2_3
TCGA.TM.A7C3.01	Cluster2_3
TCGA.02.0047.01	Cluster2_3
TCGA.02.2485.01	Cluster2_3
TCGA.06.0125.01	Cluster2_3
TCGA.06.0138.01	Cluster2_3
TCGA.06.0157.01	Cluster2_3
TCGA.06.0158.01	Cluster2_3
TCGA.06.0184.01	Cluster2_3
TCGA.06.0211.01	Cluster2_3
TCGA.06.0238.01	Cluster2_3
TCGA.06.0649.01	Cluster2_3
TCGA.06.0686.01	Cluster2_3
TCGA.06.0743.01	Cluster2_3
TCGA.06.0744.01	Cluster2_3
TCGA.06.0745.01	Cluster2_3
TCGA.06.0747.01	Cluster2_3
TCGA.06.0749.01	Cluster2_3
TCGA.06.1804.01	Cluster2_3
TCGA.06.2558.01	Cluster2_3
TCGA.06.2559.01	Cluster2_3
TCGA.06.2561.01	Cluster2_3
TCGA.06.2564.01	Cluster2_3
TCGA.06.2565.01	Cluster2_3
TCGA.06.5411.01	Cluster2_3
TCGA.06.5413.01	Cluster2_3
TCGA.06.5415.01	Cluster2_3
TCGA.06.5416.01	Cluster2_3
TCGA.06.5856.01	Cluster2_3
TCGA.06.5858.01	Cluster2_3
TCGA.06.5859.01	Cluster2_3
TCGA.12.0616.01	Cluster2_3
TCGA.12.0619.01	Cluster2_3
TCGA.12.0821.01	Cluster2_3
TCGA.12.3650.01	Cluster2_3
TCGA.12.3652.01	Cluster2_3
TCGA.14.0790.01	Cluster2_3
TCGA.14.1829.01	Cluster2_3
TCGA.14.2554.01	Cluster2_3
TCGA.15.0742.01	Cluster2_3
TCGA.16.1045.01	Cluster2_3
TCGA.19.1390.01	Cluster2_3
TCGA.19.1787.01	Cluster2_3
TCGA.19.2619.01	Cluster2_3
TCGA.19.2620.01	Cluster2_3
TCGA.19.2625.01	Cluster2_3
TCGA.26.5132.01	Cluster2_3
TCGA.26.5133.01	Cluster2_3
TCGA.26.5134.01	Cluster2_3
TCGA.26.5135.01	Cluster2_3
TCGA.27.1835.01	Cluster2_3
TCGA.27.2523.01	Cluster2_3
TCGA.27.2528.01	Cluster2_3
TCGA.28.2499.01	Cluster2_3
TCGA.28.2509.01	Cluster2_3
TCGA.28.2514.01	Cluster2_3
TCGA.28.5207.01	Cluster2_3
TCGA.28.5208.01	Cluster2_3
TCGA.28.5209.01	Cluster2_3
TCGA.28.5215.01	Cluster2_3
TCGA.28.5216.01	Cluster2_3
TCGA.28.5220.01	Cluster2_3
TCGA.32.1970.01	Cluster2_3
TCGA.32.1980.01	Cluster2_3
TCGA.32.2616.01	Cluster2_3
TCGA.41.3915.01	Cluster2_3
TCGA.41.4097.01	Cluster2_3
TCGA.76.4925.01	Cluster2_3
TCGA.76.4926.01	Cluster2_3
TCGA.76.4927.01	Cluster2_3
TCGA.76.4929.01	Cluster2_3
TCGA.76.4931.01	Cluster2_3
TCGA.76.4932.01	Cluster2_3
TCGA.CS.6186.01	Cluster2_3
TCGA.CS.6188.01	Cluster2_3
TCGA.DU.5847.01	Cluster2_3
TCGA.DU.5852.01	Cluster2_3
TCGA.DU.5854.01	Cluster2_3
TCGA.DU.6403.01	Cluster2_3
TCGA.DU.6405.01	Cluster2_3
TCGA.DU.7006.01	Cluster2_3
TCGA.DU.7013.01	Cluster2_3
TCGA.DU.7290.01	Cluster2_3
TCGA.DU.8158.01	Cluster2_3
TCGA.DU.8165.01	Cluster2_3
TCGA.DU.A5TT.01	Cluster2_3
TCGA.DU.A5TY.01	Cluster2_3
TCGA.DU.A76L.01	Cluster2_3
TCGA.DU.A7TJ.01	Cluster2_3
TCGA.FG.5963.01	Cluster2_3
TCGA.FG.6688.01	Cluster2_3
TCGA.FG.6692.01	Cluster2_3
TCGA.FG.A4MU.01	Cluster2_3
TCGA.FG.A4MW.01	Cluster2_3
TCGA.FG.A70Z.01	Cluster2_3
TCGA.HT.7854.01	Cluster2_3
TCGA.HT.8011.01	Cluster2_3
TCGA.HT.8104.01	Cluster2_3
TCGA.HT.8110.01	Cluster2_3
TCGA.HT.A4DS.01	Cluster2_3
TCGA.HT.A5RC.01	Cluster2_3
TCGA.HT.A617.01	Cluster2_3
TCGA.HT.A61C.01	Cluster2_3
TCGA.HW.A5KK.01	Cluster2_3
TCGA.P5.A72U.01	Cluster2_3
TCGA.QH.A6CV.01	Cluster2_3
TCGA.QH.A6XC.01	Cluster2_3
TCGA.S9.A6U0.01	Cluster2_3
TCGA.S9.A6WM.01	Cluster2_3
TCGA.S9.A7IX.01	Cluster2_3
TCGA.S9.A7R2.01	Cluster2_3
TCGA.TM.A84B.01	Cluster2_3
TCGA.VW.A8FI.01	Cluster2_3
